text,gender,freq
John,M,9388
William,M,8897
James,M,5693
George,M,4961
Charles,M,4802
Frank,M,3218
Joseph,M,2707
Thomas,M,2572
Henry,M,2474
Robert,M,2468
Edward,M,2439
Harry,M,2323
Walter,M,1902
Arthur,M,1690
Fred,M,1638
Albert,M,1435
Samuel,M,945
Clarence,M,889
Louis,M,886
David,M,761
Joe,M,759
Richard,M,749
Charlie,M,746
Ernest,M,690
Roy,M,680
Jesse,M,670
Will,M,650
Andrew,M,616
Oscar,M,615
Willie,M,578
Daniel,M,573
Sam,M,533
Peter,M,524
Elmer,M,523
Carl,M,521
Alfred,M,520
Benjamin,M,509
Lewis,M,476
Earl,M,464
Ralph,M,464
Frederick,M,454
Lee,M,435
Howard,M,432
Paul,M,422
Herbert,M,421
Tom,M,394
Herman,M,385
Martin,M,385
Jacob,M,381
Michael,M,373
Ben,M,367
Harvey,M,358
Claude,M,353
Jim,M,346
Clyde,M,345
Francis,M,340
Chester,M,338
Eugene,M,321
Ed,M,314
Edwin,M,308
Raymond,M,299
Charley,M,290
Edgar,M,290
Otto,M,288
Ira,M,284
Bert,M,280
Jack,M,274
Luther,M,273
Floyd,M,263
Lawrence,M,262
Guy,M,260
Hugh,M,246
Oliver,M,245
Isaac,M,243
Alexander,M,236
Ray,M,232
Patrick,M,222
Homer,M,216
August,M,213
Theodore,M,211
Archie,M,206
Leonard,M,206
Leo,M,192
Harold,M,191
Marion,M,184
Allen,M,182
Anthony,M,179
Eddie,M,179
Jessie,M,177
Emil,M,175
Cleveland,M,174
Stephen,M,165
Warren,M,164
Julius,M,162
Philip,M,161
Dave,M,159
Horace,M,154
Leroy,M,154
Dan,M,151
Willis,M,151
Clifford,M,150
Leon,M,150
Milton,M,150
Alex,M,148
Alvin,M,145
Sidney,M,142
Bernard,M,140
Calvin,M,139
Amos,M,137
Perry,M,135
Everett,M,134
Norman,M,130
Percy,M,126
Leslie,M,125
Jess,M,124
Victor,M,124
Lester,M,123
Lloyd,M,122
Jerry,M,121
Wesley,M,120
Mack,M,119
Gus,M,117
Matthew,M,117
Rufus,M,117
Maurice,M,115
Dennis,M,113
Jose,M,112
Jay,M,110
Ross,M,110
Otis,M,107
Russell,M,107
Stanley,M,105
Felix,M,102
Wallace,M,102
Clinton,M,101
Gilbert,M,100
Nathan,M,100
Aaron,M,97
Mark,M,96
Melvin,M,95
Noah,M,94
Franklin,M,93
Jake,M,92
Levi,M,91
Owen,M,91
Manuel,M,90
Nelson,M,89
Phillip,M,89
Willard,M,89
Cornelius,M,88
Marshall,M,88
Virgil,M,88
Elijah,M,85
Simon,M,85
Mike,M,84
Adam,M,83
Jasper,M,83
Silas,M,83
Bill,M,82
Reuben,M,82
Pete,M,81
Irving,M,80
Max,M,80
